"Element","h_index","g_index","m_index","TC","NP","PY_start"
"SUNIL KUMAR KH","1","1","0.500","3","1","2023"
"SUNTHARALINGAM J","1","1","0.333","4","1","2022"
"SURESH P","1","1","0.500","2","1","2023"
"SUTHERLAND DS","1","1","0.500","2","1","2023"
"SUTIKNO P","1","1","0.333","5","1","2022"
"SUZUKI H","1","1","0.250","22","1","2021"
"SUZUKI M","1","1","0.333","6","1","2022"
"SVENDSEN MB","1","1","0.083","7","1","2013"
"SWEETLOVE C","1","1","0.500","1","1","2023"
"SWIFT LM","1","1","0.333","3","1","2022"
"SYDLOSKI J","1","1","0.500","2","1","2023"
"SYRJÄLÄ E","1","1","0.200","6","1","2020"
"SZCZESNIEWSKI JJ","1","1","0.500","10","1","2023"
"SZIKSZAY TM","1","1","0.250","14","1","2021"
"SZRAMA J","1","1","0.500","1","1","2023"
"SÁNCHEZ C","1","1","0.091","9","1","2014"
"SÖKÜCÜ M","1","1","0.333","8","1","2022"
"SÖNMEZ OF","1","1","0.500","12","1","2023"
"TACIUC I-A","1","1","0.333","9","1","2022"
"TACKE M","1","1","0.200","7","1","2020"
"TACQUARD C","1","1","0.250","44","1","2021"
"TADDEI M","1","1","0.333","4","1","2022"
"TADDEI R","1","1","0.125","13","1","2017"
"TADROS MR","1","1","0.333","1","1","2022"
"TAHAPARY GJM","1","1","0.200","21","1","2020"
"TAHRI O","1","1","0.143","17","1","2018"
"TAI Y-F","1","1","0.500","1","1","2023"
"TAIDA T","1","1","0.111","11","1","2016"
"TAINTA M","1","1","0.200","13","1","2020"
"TAITO S","1","1","0.250","20","1","2021"
"TAJBAKHSH A","1","1","0.333","2","1","2022"
"TAKAHASH H","1","1","0.111","16","1","2016"
"TAKALKAR S","1","1","0.200","1","1","2020"
"TAKASHIMA R","1","1","0.333","6","1","2022"
"TAKEDA K","1","1","0.333","7","1","2022"
"TAKEMBO CN","1","1","0.167","16","1","2019"
"TAKEUCHI K","1","1","0.250","10","1","2021"
"TAKEUCHI M","1","1","0.500","7","1","2023"
"TAL O","1","1","0.333","8","1","2022"
"TALBOT NC","1","1","0.500","11","1","2023"
"TALMOR D","1","1","0.143","20","1","2018"
"TAMAI N","1","1","0.250","57","1","2021"
"TAN CW","1","1","0.250","10","1","2021"
"TAN G","1","1","0.500","3","1","2023"
"TAN J","1","1","0.250","5","1","2021"
"TAN JM","1","1","0.125","29","1","2017"
"TAN L","1","1","0.333","2","2","2022"
"TAN M","1","1","0.500","2","1","2023"
"TAN S","1","1","0.100","7","1","2015"
"TANABE M","1","1","0.333","4","1","2022"
"TANABE S","1","1","0.333","20","1","2022"
"TANAKA EY","1","1","0.333","3","1","2022"
"TANAKA T","1","1","0.333","2","1","2022"
"TANG C","1","1","0.500","1","1","2023"
"TANG F","1","1","0.500","4","1","2023"
"TANG H","1","1","0.333","16","1","2022"
"TANG J-Y","1","1","0.250","6","1","2021"
"TANG JE","1","1","0.333","3","2","2022"
"TANG M","1","1","0.333","18","1","2022"
"TANG Q","1","1","0.333","7","1","2022"
"TANG R","1","1","0.333","14","1","2022"
"TANG S","1","1","0.500","1","1","2023"
"TANG X-F","1","1","0.200","8","1","2020"
"TANG Y-L","1","1","0.250","7","1","2021"
"TANG Z-R","1","1","0.500","1","1","2023"
"TANIS PJ","1","1","0.250","32","1","2021"
"TANKOU TAGNE AS","1","1","0.167","16","1","2019"
"TANTER M","1","1","0.200","20","1","2020"
"TAPPE U","1","1","0.250","2","1","2021"
"TARATKIN M","1","1","0.333","9","1","2022"
"TARNAL V","1","1","0.250","13","1","2021"
"TARRICONE R","1","1","0.500","3","1","2023"
"TASKIN A","1","1","0.143","2","1","2018"
"TAUB DG","1","1","0.333","8","1","2022"
"TAUNTON MJ","1","1","0.500","4","3","2023"
"TAVAKOLI AA","1","1","0.250","20","1","2021"
"TAVOLARA TE","1","1","0.250","21","1","2021"
"TAY A","1","1","0.333","1","1","2022"
"TAYLOR C","1","1","0.200","116","1","2020"
"TCHERNEV G","1","1","0.125","2","1","2017"
"TEBOUL J-L","1","1","0.333","29","1","2022"
"TECTONICS RESEARCH GROUP","1","1","0.200","8","1","2020"
"TEH J-L","1","1","0.200","29","1","2020"
"TEISSEIRE M-L","1","1","0.500","1","1","2023"
"TEITELBAUM EN","1","1","0.250","18","1","2021"
"TEKESTE D","1","1","0.167","18","1","2019"
"TELFEIAN AE","1","1","0.500","2","1","2023"
"TELLEZ FOUZ C","1","1","0.500","10","1","2023"
"TELLO M","1","1","0.333","4","1","2022"
"TEN-ESTEVE A","1","1","0.250","5","1","2021"
"TENG L","1","1","0.500","1","1","2023"
"TERENCE THOMAS D","1","1","0.500","2","1","2023"
"TERRONE C","1","1","0.500","1","1","2023"
"TETZLAFF J","1","1","0.091","49","1","2014"
"TEUFEL A","1","1","0.250","2","1","2021"
"THACKRAY JK","1","1","0.500","6","1","2023"
"THAETER L","1","1","0.143","6","1","2018"
"THAKKAR P","1","1","0.500","1","1","2023"
"THAKKAR S","1","1","0.250","17","1","2021"
"THERNSTRÖM BLOMQVIST Y","1","1","0.250","9","1","2021"
"THERUVATH AJ","1","1","0.333","4","1","2022"
"THIBAUT A","1","1","0.333","29","1","2022"
"THIEL M","1","1","0.333","1","1","2022"
"THIERY T","1","1","0.143","18","1","2018"
"THIRUCHELVAM T","1","1","0.500","6","1","2023"
"THOGULUVA CHANDRASEKAR V","1","1","0.250","1","1","2021"
"THOLEN E","1","1","0.091","4","1","2014"
"THOMPSON A","1","1","0.333","38","1","2022"
"THOMPSON C","1","1","0.333","4","1","2022"
"THOMPSON R","1","1","0.333","38","1","2022"
"THÖNE-REINEKE C","1","1","0.200","35","1","2020"
"TIAN D","1","1","0.333","5","1","2022"
"TIAN H","1","1","0.143","5","1","2018"
"TIAN M","1","1","0.167","10","1","2019"
"TIAN X-M","1","1","0.083","2","1","2013"
"TIBA MH","1","1","0.333","2","1","2022"
"TIDDENS HAWM","1","1","0.500","2","1","2023"
"TIEN VH-C","1","1","0.250","9","1","2021"
"TIKHOMIROVA A","1","1","0.333","2","1","2022"
"TIMMERMANN LM","1","1","0.500","10","1","2023"
"TIMOSHIN AA","1","1","0.091","45","1","2014"
"TISCHFIELD MA","1","1","0.500","6","1","2023"
"TOCHIE JN","1","1","0.333","11","1","2022"
"TOET S","1","1","0.200","61","1","2020"
"TOFIGHI E","1","1","0.200","5","1","2020"
"TOGNONI P","1","1","0.500","1","1","2023"
"TOHKA J","1","1","0.167","5","1","2019"
"TOLBA R","1","1","0.333","6","1","2022"
"TOLLENAAR RAEM","1","1","0.250","32","1","2021"
"TOLLERFIELD S","1","1","0.500","7","1","2023"
"TOM BDM","1","1","0.333","6","1","2022"
"TOMYCZ ND","1","1","0.333","6","1","2022"
"TON S","1","1","0.333","7","1","2022"
"TONG J","1","1","0.200","54","1","2020"
"TONG X","1","1","0.333","4","1","2022"
"TONONI G","1","1","0.333","29","1","2022"
"TONOUCHI A","1","1","0.250","57","1","2021"
"TOPPILA-SALMI S","1","1","0.333","4","1","2022"
"TORI R","1","1","0.250","27","1","2021"
"TORKKI P","1","1","0.333","4","1","2022"
"TORPY DJ","1","1","0.143","14","1","2018"
"TORRECILLA C","1","1","0.167","11","1","2019"
"TORRES BA","1","1","0.200","8","1","2020"
"TORTORI A","1","1","0.250","3","1","2021"
"TOTU T","1","1","0.250","10","1","2021"
"TOUCHARD C","1","2","0.167","21","2","2019"
"TOURTIER J-P","1","1","0.167","2","1","2019"
"TOUW HR","1","1","0.143","14","1","2018"
"TOY S","1","1","0.500","2","1","2023"
"TOĞAÇAR M","1","1","0.250","41","1","2021"
"TRACEY MC","1","1","0.500","3","1","2023"
"TRAPPETTI C","1","1","0.333","2","1","2022"
"TRAVERS C","1","1","0.125","36","1","2017"
"TRIGGS JR","1","1","0.250","18","1","2021"
"TRINDER M","1","1","0.250","53","1","2021"
"TRIPATHI S","1","1","0.125","10","1","2017"
"TRITAPEPE L","1","1","0.500","2","1","2023"
"TROIANI V","1","1","0.333","6","1","2022"
"TSAI A","1","1","0.333","1","1","2022"
"TSAI C-S","1","1","0.200","70","1","2020"
"TSAI J-P","1","1","0.500","1","1","2023"
"TSAI M-H","1","1","0.250","9","1","2021"
"TSAI M-T","1","1","0.500","1","1","2023"
"TSAI P-Y","1","1","0.250","3","1","2021"
"TSAI W-L","1","1","0.500","1","1","2023"
"TSANG VT","1","1","0.500","6","1","2023"
"TSCHAIKOWSKI L","1","1","0.250","10","1","2021"
"TSCHOLL DW","1","1","0.500","1","1","2023"
"TSERING D","1","1","0.167","35","1","2019"
"TSHIBANDA J-FL","1","1","0.125","16","1","2017"
"TSIMARAS M","1","1","0.143","11","1","2018"
"TSKITISHVILI OV","1","1","0.091","45","1","2014"
"TSOU Y-A","1","1","0.250","9","1","2021"
"TSUBOI M","1","1","0.111","11","1","2016"
"TSUI F-C","1","1","0.200","7","1","2020"
"TSUJI T","1","1","0.500","7","1","2023"
"TU J-F","1","1","0.500","1","1","2023"
"TU L","1","1","0.167","35","1","2019"
"TUAN HD","1","1","0.250","7","1","2021"
"TUBBS RS","1","1","0.500","12","1","2023"
"TUBTAWEE T","1","1","0.250","20","1","2021"
"TUDOR C","1","1","0.333","6","1","2022"
"TULBURE M","1","1","0.167","3","1","2019"
"TULGAR S","1","1","0.500","2","1","2023"
"TUNCER T","1","1","0.333","6","1","2022"
"TUNZI D","1","1","0.250","2","1","2021"
"TURAN A","1","1","0.250","21","1","2021"
"TURBITT L","1","1","0.250","31","1","2021"
"TURCATO G","1","1","0.333","1","1","2022"
"TURCHI G","1","1","0.333","1","1","2022"
"TURNER PV","1","1","0.250","49","1","2021"
"TURNER RM","1","1","0.200","116","1","2020"
"TURNES BL","1","1","0.333","8","1","2022"
"TUTINO R","1","1","0.167","11","1","2019"
"TUYNMAN JB","1","1","0.250","32","1","2021"
"TVEIT TO","1","1","0.500","9","1","2023"
"TWOMEY CR","1","1","0.500","6","1","2023"
"TYBJÆRG-HANSEN A","1","1","0.250","53","1","2021"
"TYSON D","1","1","0.333","5","1","2022"
"TZOVARA A","1","1","0.500","7","1","2023"
"TÜRKOĞLU M","1","1","0.500","4","1","2023"
"UEYAMA H","1","1","0.500","1","1","2023"
"UHL E","1","1","0.333","1","1","2022"
"ULM K","1","1","0.500","3","1","2023"
"ULTSCH A","1","1","0.083","23","1","2013"
"UM DJ","1","1","0.083","25","1","2013"
"UMUTOǦLU T","1","1","0.125","1","1","2017"
"UPPAL V","1","1","0.250","68","1","2021"
"URADE T","1","1","0.333","4","1","2022"
"URBINO R","1","1","0.111","52","1","2016"
"URNER M","1","1","0.250","7","1","2021"
"USREY WM","1","1","0.333","1","1","2022"
"UTIYAMA EM","1","1","0.333","3","1","2022"
"UWANAKA E","1","1","0.500","2","1","2023"
"UYSAL E","1","1","0.333","8","1","2022"
"UZOSIKE AC","1","1","0.500","12","1","2023"
"VACHON-PRESSEAU E","1","1","0.500","1","1","2023"
"VAIDA F","1","1","0.167","32","1","2019"
"VALDES HERNANDEZ PA","1","1","0.333","2","1","2022"
"VALE N","1","1","0.333","2","1","2022"
"VALENTINI V","1","1","0.333","5","1","2022"
"VALEVICIENE NR","1","1","0.250","1","1","2021"
"VALLE G","1","1","0.333","16","1","2022"
"VALLÉE F","1","2","0.167","21","2","2019"
"VAN AMSTERDAM K","1","1","0.333","5","1","2022"
"VAN BOEKEL RLM","1","1","0.333","2","1","2022"
"VAN BUUREN S","1","1","0.250","6","1","2021"
"VAN DE VELDE CJH","1","1","0.250","32","1","2021"
"VAN DE VEN PM","1","1","0.200","21","1","2020"
"VAN DEN BOSCH T","1","1","0.250","32","1","2021"
"VAN DEN EIJNDEN MAC","1","1","0.500","3","1","2023"
