"Element","h_index","g_index","m_index","TC","NP","PY_start"
"CARIDI JM","1","2","0.143","113","2","2018"
"CARLETTI F","1","1","0.500","6","1","2023"
"CARLIN J","1","1","0.333","38","1","2022"
"CARLSON DA","1","1","0.250","18","1","2021"
"CARLSON M","1","1","0.250","1","1","2021"
"CAROLAN P","1","1","0.333","38","1","2022"
"CARRANO FM","1","1","0.500","2","1","2023"
"CARRASCO LEROY C","1","1","0.200","5","1","2020"
"CARROLL I","1","2","0.167","40","2","2019"
"CARTAILLER J","1","2","0.167","21","2","2019"
"CARTWRIGHT AJ","1","1","0.500","9","1","2023"
"CARVALHO H","1","1","0.250","6","1","2021"
"CASAROTTO S","1","1","0.333","29","1","2022"
"CASCELLA A","1","1","0.500","4","1","2023"
"CASEY CP","1","1","0.333","20","1","2022"
"CASH SS","1","1","0.167","12","1","2019"
"CASILLAS-ESPINOSA PM","1","1","0.167","5","1","2019"
"CASTANHEIRA JDS","1","1","0.250","13","1","2021"
"CASTELLS MC","1","1","0.250","44","1","2021"
"CASTRO A","1","1","0.250","13","1","2021"
"CASU G","1","1","0.250","13","1","2021"
"CATENA V","1","1","0.250","11","1","2021"
"CATINEAN A","1","1","0.167","3","1","2019"
"CATTAERT D","1","1","0.500","1","2","2023"
"CAUDRI D","1","1","0.500","2","1","2023"
"CAVALIER E","1","1","0.091","27","1","2014"
"CAVALIERE C","1","1","0.125","16","1","2017"
"CAZAYUS M","1","1","0.250","11","1","2021"
"CECCHI G","1","1","0.500","1","1","2023"
"CECCONI M","1","1","0.333","29","1","2022"
"CERDÁ M","1","1","0.250","5","1","2021"
"CERETTO-CLARK B","1","1","0.500","1","1","2023"
"CERNIGLIA D","1","1","0.167","11","1","2019"
"CERNUDA C","1","1","0.200","13","1","2020"
"CERUTTI E","1","1","0.333","5","1","2022"
"CESARIO A","1","1","0.333","5","1","2022"
"CETIN Z","1","1","0.333","8","1","2022"
"CHA YB","1","1","0.333","2","1","2022"
"CHADHA R","1","1","0.333","2","1","2022"
"CHAE MS","1","1","0.333","2","1","2022"
"CHAE Y","1","1","0.333","6","1","2022"
"CHAIAH Y","1","1","0.250","1","1","2021"
"CHAKOLE V","1","1","0.200","1","1","2020"
"CHAKRABARTHI S","1","1","0.250","3","1","2021"
"CHAKRAVARTY K","1","1","0.250","6","1","2021"
"CHAMBAZ A","1","1","0.200","31","1","2020"
"CHAN A","1","1","0.333","2","1","2022"
"CHAN LLH","1","1","0.333","6","1","2022"
"CHAN MTV","1","1","0.250","7","1","2021"
"CHAN PY","1","1","0.333","1","1","2022"
"CHAN W-S","1","1","0.500","1","1","2023"
"CHAND M","1","1","0.500","2","1","2023"
"CHANDOLA V","1","1","0.167","18","1","2019"
"CHANG CB","1","1","0.333","27","1","2022"
"CHANG T-R","1","1","0.333","1","1","2022"
"CHANG W-D","1","1","0.250","9","1","2021"
"CHANG X-Y","1","1","0.250","4","1","2021"
"CHAO A","1","1","0.500","1","1","2023"
"CHAO T-F","1","1","0.333","2","1","2022"
"CHAO W-C","1","1","0.200","70","1","2020"
"CHAR DS","1","1","0.200","14","1","2020"
"CHARBONNIER J-P","1","1","0.500","2","1","2023"
"CHARLAND-VERVILLE V","1","1","0.125","16","1","2017"
"CHARLES C","1","1","0.100","10","1","2015"
"CHARTERS PFP","1","1","0.333","4","1","2022"
"CHATBURN RL","1","1","0.200","11","1","2020"
"CHATDARONG K","1","1","0.125","13","1","2017"
"CHATTERJEE A","1","1","0.333","5","1","2022"
"CHATTOPADHYAY A","1","1","0.125","4","1","2017"
"CHAU A","1","1","0.333","3","1","2022"
"CHAUDHARI A","1","1","0.200","1","1","2020"
"CHAUDHARY O","1","1","0.200","99","1","2020"
"CHAVALI N","1","1","0.333","38","1","2022"
"CHAYA R","1","1","0.200","3","1","2020"
"CHAZOT T","1","1","0.111","17","1","2016"
"CHE X","1","1","0.333","1","1","2022"
"CHECCHIA PA","1","1","0.167","8","1","2019"
"CHECCUCCI E","1","1","0.333","9","1","2022"
"CHEESEMAN JF","1","1","0.083","4","1","2013"
"CHEETHAM T","1","1","0.500","7","1","2023"
"CHEHADE R","1","1","0.333","38","1","2022"
"CHELIGEER C","1","1","0.333","7","1","2022"
"CHEN A","1","1","0.500","2","1","2023"
"CHEN B","1","2","0.333","4","2","2022"
"CHEN C-C","1","1","0.333","1","2","2022"
"CHEN C-M","1","1","0.200","70","1","2020"
"CHEN C-W","1","1","0.500","1","1","2023"
"CHEN CARDENAS SM","1","1","0.500","4","1","2023"
"CHEN F","1","1","0.500","1","1","2023"
"CHEN H","1","4","0.125","19","5","2017"
"CHEN J","1","1","0.333","2","4","2022"
"CHEN JW","1","1","0.333","2","1","2022"
"CHEN K-C","1","1","0.333","5","1","2022"
"CHEN MJ","1","1","0.250","8","1","2021"
"CHEN S","1","2","0.333","4","3","2022"
"CHEN W-M","1","1","0.500","13","1","2023"
"CHEN X-J","1","1","0.500","1","1","2023"
"CHEN Y-S","1","1","0.500","1","2","2023"
"CHEN Y-W","1","1","0.500","1","1","2023"
"CHEN ZS","1","1","0.200","9","1","2020"
"CHENEY CP","1","1","0.500","2","1","2023"
"CHENG G","1","1","0.250","7","1","2021"
"CHENG JC","1","1","0.167","22","1","2019"
"CHENG L","1","2","0.167","12","2","2019"
"CHENG T-W","1","1","0.500","1","1","2023"
"CHENG X","1","2","0.333","4","2","2022"
"CHENG Y","1","1","0.333","17","1","2022"
"CHENG Y-R","1","1","0.500","1","1","2023"
"CHENG Y-W","1","1","0.500","1","1","2023"
"CHENNU S","1","1","0.200","4","1","2020"
"CHESEREM B","1","1","0.500","1","1","2023"
"CHEUNG RCC","1","1","0.333","6","1","2022"
"CHEUNG SO E","1","1","0.333","1","1","2022"
"CHEW MS","1","1","0.333","29","1","2022"
"CHHOR N","1","1","0.100","7","1","2015"
"CHHUOY M","1","1","0.100","7","1","2015"
"CHI C-L","1","1","0.500","7","1","2023"
"CHI N-C","1","1","0.500","7","1","2023"
"CHIANG C-E","1","1","0.333","2","1","2022"
"CHIANG M","1","1","0.333","8","1","2022"
"CHIANG P-L","1","1","0.500","1","1","2023"
"CHIANG P-T","1","1","0.500","1","1","2023"
"CHIARI L","1","1","0.500","1","1","2023"
"CHIEW YS","1","1","0.333","8","1","2022"
"CHIM K","1","1","0.083","75","1","2013"
"CHIN KJ","1","1","0.125","37","1","2017"
"CHINI M","1","1","0.167","20","1","2019"
"CHIOCCHETTI R","1","1","0.200","1","1","2020"
"CHIRIBIRI A","1","1","0.250","11","1","2021"
"CHIU A","1","1","0.250","21","1","2021"
"CHIU C-J","1","1","0.250","9","1","2021"
"CHIU C-T","1","1","0.500","1","1","2023"
"CHIU I-M","1","1","0.500","1","1","2023"
"CHO A","1","1","0.333","2","1","2022"
"CHO B","1","1","0.500","4","1","2023"
"CHO E-A","1","1","0.333","2","1","2022"
"CHO JH","1","1","0.500","1","1","2023"
"CHO SH","1","1","0.333","2","1","2022"
"CHO YJ","1","1","0.143","129","1","2018"
"CHOI B-M","1","1","0.250","8","1","2021"
"CHOI C","1","1","0.250","2","1","2021"
"CHOI E-K","1","1","0.333","2","1","2022"
"CHOI H","1","1","0.333","2","1","2022"
"CHOI HW","1","1","0.250","11","1","2021"
"CHOI J-S","1","1","0.167","10","1","2019"
"CHOI JW","1","1","0.333","1","1","2022"
"CHOI KD","1","1","0.250","10","1","2021"
"CHOI MS","1","1","0.333","2","1","2022"
"CHOI S","1","1","0.333","2","1","2022"
"CHOI W-J","1","1","0.500","2","1","2023"
"CHOMIAK T","1","2","0.111","4","2","2016"
"CHON KH","1","1","0.250","15","1","2021"
"CHONG H","1","1","0.333","2","1","2022"
"CHOO R","1","1","0.333","4","1","2022"
"CHOPRA M","1","1","0.333","7","1","2022"
"CHOU N-K","1","1","0.500","1","1","2023"
"CHOW C-Y","1","1","0.500","1","1","2023"
"CHOW J","1","1","0.333","3","1","2022"
"CHOWDHURY MH","1","1","0.333","6","1","2022"
"CHRISP GL","1","1","0.143","14","1","2018"
"CHRISTENSEN E","1","1","0.250","4","3","2021"
"CHRISTIAN KOFOED S","1","1","0.083","7","1","2013"
"CHRISTIAN-HINMAN CA","1","1","0.333","6","1","2022"
"CHU I","1","1","0.333","15","1","2022"
"CHU Q","1","1","0.333","2","1","2022"
"CHUAN A","1","1","0.250","18","1","2021"
"CHUNG DC","1","1","0.333","38","1","2022"
"CHUNG E-J","1","1","0.143","84","1","2018"
"CHUNG J","1","1","0.250","7","1","2021"
"CHUNG J-H","1","1","0.250","6","1","2021"
"CHUNG Y-H","1","1","0.333","2","1","2022"
"CHUNG YH","1","1","0.167","14","1","2019"
"CHURCH TR","1","1","0.333","38","1","2022"
"CIANI O","1","1","0.500","3","1","2023"
"CINELLI L","1","1","0.333","4","1","2022"
"CINNOR B","1","1","0.333","38","1","2022"
"CIOTTI F","1","1","0.333","16","1","2022"
"CIPRIANI F","1","1","0.125","39","1","2017"
"CISZEK R","1","1","0.167","5","1","2019"
"CIVIL N","1","1","0.083","7","1","2013"
"CLAASSEN J","1","1","0.250","7","1","2021"
"CLADIS F","1","1","0.200","22","1","2020"
"CLARK RSB","1","1","0.250","4","1","2021"
"CLARKE H","1","1","0.143","24","1","2018"
"CLAUW DJ","1","1","0.250","12","1","2021"
"CLENDENEN N","1","1","0.250","4","3","2021"
"CLIFF AM","1","1","0.200","16","1","2020"
"CLIFFORD SP","1","1","0.250","16","1","2021"
"CLOPTON P","1","1","0.500","1","1","2023"
"CLOTHIER B","1","1","0.200","12","1","2020"
"CNOSSEN F","1","1","0.333","5","1","2022"
"COBAN S","1","1","0.333","38","1","2022"
"COENE PPLO","1","1","0.250","32","1","2021"
"COENEN MJH","1","1","0.333","2","1","2022"
"COHEN B","1","1","0.250","29","1","2021"
"COHEN K","1","1","0.500","1","1","2023"
"COHEN-ADAD J","1","1","0.250","5","1","2021"
"COLE AJ","1","1","0.167","12","1","2019"
"COLE JH","1","1","0.333","2","1","2022"
"COLIZZO F","1","1","0.333","38","1","2022"
"COLLAÇO E","1","1","0.250","27","1","2021"
"COLLERAN E","1","1","0.333","36","1","2022"
"COLLIN A","1","1","0.250","2","1","2021"
"COLLINS T","1","1","0.333","4","1","2022"
"COLLOMB N","1","1","0.250","7","1","2021"
"COLOPY GW","1","1","0.167","35","1","2019"
"COLQUHOUN DA","1","1","0.200","8","1","2020"
"COLUCCI DR","1","1","0.333","38","1","2022"
"COLUMB M","1","1","0.111","14","1","2016"
"COMBRISSON E","1","1","0.143","18","1","2018"
"COMELLI A","1","1","0.167","11","1","2019"
"COMRIE CE","1","1","0.333","3","1","2022"
"CONFINO JE","1","1","0.500","5","1","2023"
"CONNELLY S","1","2","0.333","5","2","2022"
"CONNOR CW","1","1","0.167","121","1","2019"
"CONNOR TB","1","1","0.250","6","1","2021"
"CONTE D","1","1","0.111","32","1","2016"
"CONTRERAS V","1","1","0.200","7","1","2020"
"COOK DJ","1","1","0.200","13","1","2020"
"COOPER BL","1","1","0.333","3","1","2022"
"COPOT D","1","2","0.200","50","2","2020"
"CORLEY SS","1","1","0.250","4","1","2021"
"CORNELISSEN L","1","1","0.167","20","1","2019"
"CORNER GA","1","1","0.111","14","1","2016"
"CORNETT EM","1","1","0.500","11","1","2023"
"CORZO-HIGUERAS JL","1","1","0.091","9","1","2014"
"COSTA B","1","1","0.333","2","1","2022"
"COSTA DSJ","1","1","0.083","53","1","2013"
"COSTACHE A","1","1","0.333","9","1","2022"
"COSTANTINO F","1","1","0.200","1","1","2020"
"COSTELLO JM","1","1","0.143","12","1","2018"
"COVE ME","1","1","0.333","8","1","2022"
"COWAN D","1","1","0.167","20","1","2019"
"COX CB","1","1","0.250","5","1","2021"
"COX LGE","1","1","0.500","3","1","2023"
"COŞKUN M","1","1","0.100","4","1","2015"
"CRACA M","1","1","0.333","14","1","2022"
"CRAVERO JP","1","1","0.125","36","1","2017"
"CRAWFORD JH","1","1","0.125","15","1","2017"
"CRESCENZI P","1","1","0.167","18","1","2019"
"CRISCUOLO F","1","1","0.250","10","1","2021"
"CRISPO A","1","1","0.500","4","1","2023"
"CRIVELLO O","1","1","0.250","27","1","2021"
"CROMBÉ A","1","1","0.250","11","1","2021"
"CRONAN JJ","1","1","0.500","4","1","2023"
"CRONIN WA","1","1","0.500","3","1","2023"
"CROSBY I","1","1","0.200","116","1","2020"
"CRUELLAS M","1","1","0.500","1","1","2023"
"CRUZ H","1","1","0.500","3","1","2023"
"CRUZ-ALMEIDA Y","1","1","0.333","2","1","2022"
"CRYSTAL S","1","1","0.250","5","1","2021"
"CUBBIN C","1","1","0.167","12","1","2019"
"CUI C","1","1","0.200","26","1","2020"
"CUI S","1","1","0.333","7","1","2022"
"CUI Z","1","1","0.167","57","1","2019"
"CULVER JP","1","1","0.333","18","1","2022"
"CUMMING P","1","1","0.167","6","1","2019"
"CURLEY MAQ","1","1","0.143","15","1","2018"
"CURRAN BP","1","1","0.500","5","1","2023"
"CURTIN C","1","1","0.167","40","1","2019"
"CURZEN N","1","1","0.500","2","1","2023"
"CUTUGNO F","1","1","0.333","12","1","2022"
"CVANCARA P","1","1","0.333","16","1","2022"
"CYR KL","1","1","0.500","3","1","2023"
"CYR S","1","1","0.125","13","1","2017"
"CÁRDENAS-PEÑA DA","1","1","0.250","9","1","2021"
"CÔTÉ CD","1","1","0.167","4","1","2019"
"CÖMERT Z","1","1","0.250","41","1","2021"
"D SOUZA SA","1","1","0.500","1","1","2023"
"D'AMICO RS","1","1","0.500","1","1","2023"
"D'ANCONA G","1","1","0.200","3","1","2020"
"D'ANGELO D","1","1","0.143","4","1","2018"
"D'SOUZA D","1","1","0.200","49","1","2020"
"DABBAGH A","1","1","0.333","2","1","2022"
"DAGAN O","1","1","0.083","10","1","2013"
"DAHAN A","1","2","0.200","62","2","2020"
"DAHLE TG","1","1","0.333","1","1","2022"
"DAI H","1","1","0.250","8","1","2021"
"DAI M","1","1","0.250","7","1","2021"
"DAISELY BA","1","1","0.250","53","1","2021"
"DAL MORO F","1","1","0.500","6","1","2023"
"DALDRUP-LINK HE","1","1","0.333","4","1","2022"
"DALIX E","1","1","0.333","1","1","2022"
"DAMAS P","1","1","0.091","27","1","2014"
"DAMOUS SHB","1","1","0.333","3","1","2022"
"DANESE S","1","1","0.200","2","1","2020"
"DANG G-F","1","1","0.091","8","1","2014"
"DANG J","1","1","0.500","1","1","2023"
"DANNINGER T","1","1","0.143","3","1","2018"
"DARABAD MA","1","1","0.333","2","1","2022"
"DARMON N","1","1","0.333","13","1","2022"
"DARSAREH F","1","1","0.500","9","1","2023"
"DAS P","1","1","0.500","2","1","2023"
"DAS T","1","1","0.111","36","1","2016"
"DAS TK","1","1","0.125","16","1","2017"
"DASARI RR","1","1","0.111","18","1","2016"
"DASS B","1","1","0.250","30","1","2021"
"DATTA A","1","1","0.250","21","1","2021"
"DATTA SR","1","1","0.333","8","1","2022"
"DAUCHY S","1","1","0.100","10","1","2015"
"DAVEY Z","1","1","0.333","5","1","2022"
"DAVID R","1","1","0.250","10","1","2021"
"DAVIES E","1","1","0.083","4","1","2013"
"DAVIES I","1","1","0.333","38","1","2022"
"DAVIES JH","1","1","0.500","7","1","2023"
"DAVIES SJ","1","1","0.333","5","1","2022"
"DAVIS CS","1","1","0.250","5","1","2021"
"DAVIS E","1","1","0.083","53","1","2013"
"DAVIS PB","1","1","0.500","11","1","2023"
"DAVIS SD","1","1","0.500","2","1","2023"
"DAVOUD SC","1","1","0.500","1","1","2023"
"DAVOUDI A","1","1","0.333","6","1","2022"
"DAWES TR","1","1","0.143","22","1","2018"
"DE ANDRES J","1","1","0.250","5","1","2021"
"DE ANGELIS D","1","1","0.333","6","1","2022"
"DE ARMENDI AJ","1","1","0.333","7","1","2022"
"DE BACKER D","1","1","0.333","29","1","2022"
"DE BERARDINIS D","1","1","0.500","2","1","2023"
"DE BOCK F","1","1","0.250","7","1","2021"
"DE BORTOLI N","1","1","0.143","62","1","2018"
"DE CARVALHO PST","1","1","0.500","2","1","2023"
"DE FREITAS M","1","1","0.333","1","1","2022"
"DE FREITAS PO","1","1","0.250","2","1","2021"
"DE GROOT JWB","1","1","0.250","32","1","2021"
"DE HARO C","1","1","0.167","30","1","2019"
"DE LA FUENTE LA","1","1","0.500","10","1","2023"
"DE LUCENA CJP","1","1","0.167","20","1","2019"
"DE LUCIA M","1","1","0.500","7","1","2023"
"DE MARCO P","1","1","0.167","11","1","2019"
"DE MARINIS MG","1","1","0.143","4","1","2018"
"DE MARTIN E","1","1","0.333","2","1","2022"
"DE MICHELI G","1","1","0.250","10","1","2021"
"DE MIRANDA JS","1","1","0.333","3","1","2022"
"DE MOMI E","1","1","0.143","20","1","2018"
"DE NERÉE TOT BABBERICH MPM","1","1","0.250","32","1","2021"
"DE ROSA L","1","1","0.250","3","1","2021"
"DE RUGY A","1","1","0.500","1","2","2023"
"DE RUVO E","1","1","0.250","13","1","2021"
"DE SD","1","1","0.125","4","1","2017"
"DE SONNEVILLE J","1","1","0.500","1","1","2023"
"DE SOUZA E","1","1","0.250","17","1","2021"
"DE VOS-JAKOBS S","1","1","0.333","1","1","2022"
"DE VRY DJ","1","1","0.111","3","1","2016"
"DE WITH PHN","1","1","0.500","3","1","2023"
"DEARING JL","1","1","0.143","20","1","2018"
"DEBOISSEZON X","1","1","0.200","15","1","2020"
"DECHANT CJ","1","1","0.111","22","1","2016"
"DEER TR","1","1","0.333","6","1","2022"
"DEFFIEUX T","1","1","0.200","20","1","2020"
"DEFFLAND M","1","1","0.200","5","1","2020"
"DEFINO H","1","1","0.500","2","1","2023"
"DEHDASHTI F","1","1","0.333","47","1","2022"
"DEHGAN A","1","1","0.143","18","1","2018"
"DEHNHARD M","1","1","0.091","25","1","2014"
"DEKKER J-WT","1","1","0.250","32","1","2021"
"DEL GALLO F","1","1","0.250","11","1","2021"
"DEL PRETE V","1","1","0.167","19","1","2019"
"DEL RIO P","1","1","0.333","14","1","2022"
"DELANAYE P","1","1","0.091","27","1","2014"
"DELEUZE S","1","1","0.200","5","1","2020"
"DELLA VALLE AG","1","1","0.250","17","1","2021"
"DELSIGNORE M","1","1","0.333","38","1","2022"
"DEMICHELE A","1","1","0.083","75","1","2013"
"DEMIR I","1","1","0.500","7","1","2023"
"DEMIRARAN Y","1","1","0.125","1","1","2017"
"DEN BOER FC","1","1","0.250","32","1","2021"
"DENG C","1","1","0.500","1","2","2023"
"DENG H","1","1","0.500","1","1","2023"
"DENG KF","1","1","0.200","3","1","2020"
"DENG P","1","2","0.250","7","2","2021"
"DENG Q","1","1","0.500","1","1","2023"
"DENN S","1","1","0.333","1","1","2022"
"DEO RC","1","1","0.200","86","1","2020"
"DEPAULIS A","1","1","0.250","7","1","2021"
"DERMODY G","1","1","0.200","13","1","2020"
"DESAI A","1","1","0.200","18","1","2020"
"DESANTANA JM","1","1","0.143","21","1","2018"
"DESHMUKH P","1","1","0.200","1","1","2020"
"DEUFEL C","1","1","0.333","4","1","2022"
"DEUMIC A","1","1","0.500","1","1","2023"
"DEVIREDDY C","1","1","0.500","1","1","2023"
"DEVOR M","1","2","0.100","7","2","2015"
"DHALLA A-H","1","1","0.250","6","1","2021"
"DHAWAN I","1","1","0.500","1","1","2023"
"DHOMBRES F","1","1","0.500","2","1","2023"
"DI GENNARO P","1","1","0.500","4","1","2023"
"DI GREGORIO F","1","1","0.500","1","1","2023"
"DI MICCO R","1","1","0.500","3","1","2023"
"DI PERRI C","1","1","0.125","16","1","2017"
"DI ROCCO F","1","1","0.500","1","1","2023"
"DI TRANI M","1","1","0.500","2","1","2023"
"DIACHUN CAB","1","1","0.250","8","1","2021"
"DIANA M","1","2","0.250","5","2","2021"
"DIAZ GOIZUETA FJ","1","1","0.500","10","1","2023"
"DIAZ-LUNDAHL S","1","1","0.333","6","1","2022"
"DIBIASI C","1","1","0.500","1","1","2023"
"DICK RP","1","1","0.333","2","1","2022"
"DICKSON RP","1","1","0.333","2","1","2022"
"DIETRICH DE","1","1","0.250","68","1","2021"
"DILORENZO AN","1","1","0.250","8","1","2021"
"DING D","1","1","0.250","5","1","2021"
"DING H","1","1","0.250","7","1","2021"
"DING J","1","1","0.250","1","1","2021"
"DING Q","1","1","0.333","3","1","2022"
"DING Y","1","2","0.333","10","2","2022"
"DING YJ","1","1","0.250","7","1","2021"
"DIRINGER MN","1","1","0.250","4","1","2021"
"DISMA N","1","2","0.333","6","2","2022"
"DISSING SORENSEN HB","1","1","0.143","21","1","2018"
"DJIRAR S","1","1","0.500","11","1","2023"
"DJOUHRI L","1","1","0.200","4","1","2020"
"DO MN","1","1","0.250","7","1","2021"
"DOAN CN","1","1","0.167","32","1","2019"
"DOCTOR F","1","1","0.091","9","1","2014"
"DOGRA N","1","1","0.500","3","1","2023"
"DOHBIT JS","1","1","0.333","11","1","2022"
"DOKUR M","1","1","0.333","8","1","2022"
"DOKUR SN","1","1","0.333","8","1","2022"
"DOLL T","1","1","0.333","1","1","2022"
"DOMB BG","1","1","0.333","2","1","2022"
"DOMBROWSKI K","1","1","0.200","2","1","2020"
"DOMENECH L","1","1","0.200","1","1","2020"
"DOMINELLI PB","1","1","0.250","9","1","2021"
"DOMINITZ JA","1","1","0.333","7","1","2022"
"DOMINY C","1","1","0.333","3","1","2022"
"DONALDSON AM","1","1","0.333","7","1","2022"
"DONALDSON MT","1","1","0.200","12","1","2020"
"DONAT-VARGAS C","1","1","0.250","6","1","2021"
"DONATI A","1","1","0.333","5","1","2022"
"DONG B","1","1","0.333","2","1","2022"
"DONG H","1","1","0.167","10","1","2019"
"DONG S-Z","1","1","0.167","57","1","2019"
"DONG T","1","1","0.167","7","1","2019"
"DONG X-L","1","1","0.143","5","1","2018"
"DONG Y","1","1","0.125","10","1","2017"
"DONG Z","1","1","0.250","4","1","2021"
"DONNAN E","1","1","0.250","18","1","2021"
"DONOGHUE J","1","1","0.250","8","1","2021"
"DONOVAN AL","1","1","0.333","25","1","2022"
"DONZELLI S","1","1","0.250","13","1","2021"
"DOORENBOS AZ","1","1","0.111","2","1","2016"
"DORA M","1","1","0.333","12","1","2022"
"DORSEY SG","1","1","0.125","39","1","2017"
"DOSSOV M","1","1","0.333","6","1","2022"
"DOUGLAS I","1","1","0.333","29","1","2022"
"DOUIN D","1","1","0.333","2","1","2022"
"DOUVILLE NJ","1","1","0.200","18","1","2020"
"DOWLING Á","1","1","0.500","2","1","2023"
"DOWNING J","1","1","0.333","38","1","2022"
"DOĞAN M","1","1","0.500","2","1","2023"
"DOĞRUEL Y","1","1","0.500","12","1","2023"
"DOǦAN S","1","1","0.125","1","1","2017"
"DRES M","1","1","0.250","7","1","2021"
"DRIESSEN AHG","1","1","0.250","3","1","2021"
"DROVER DR","1","1","0.143","14","1","2018"
"DU C","1","1","0.500","2","1","2023"
"DU X","1","1","0.167","4","1","2019"
"DU Y","1","1","0.333","2","1","2022"
"DU Y-C","1","1","0.250","3","1","2021"
"DU Z-Y","1","1","0.250","1","1","2021"
"DUAN N","1","2","0.200","20","2","2020"
"DUAN Q","1","1","0.200","7","1","2020"
"DUAN Z","1","1","0.500","1","1","2023"
"DUARTE-GAMAS L","1","1","0.333","1","1","2022"
"DUBOIS O","1","1","0.500","1","2","2023"
"DUBRAWSKI A","1","1","0.167","10","1","2019"
"DUCLOS C","1","1","0.250","13","1","2021"
"DUGGIRALA A","1","1","0.333","38","1","2022"
"DUMITRU M","1","1","0.333","9","1","2022"
"DUMONT GA","1","1","0.125","4","1","2017"
"DUNN LOPEZ K","1","1","0.500","7","1","2023"
"DUONG P","1","1","0.250","11","1","2021"
"DUPONT C","1","1","0.500","2","1","2023"
"DURGA NANDHINI M","1","1","0.250","4","1","2021"
"DURRANI RS","1","1","0.200","1","2","2020"
"DVORNIKOV AS","1","1","0.167","2","1","2019"
"DWEEKAT OY","1","1","0.500","2","1","2023"
"DZEMIC Z","1","1","0.500","1","1","2023"
"EAGLEMAN SL","1","1","0.143","14","1","2018"
"EASTWOOD CA","1","1","0.333","7","1","2022"
"EBERL S","1","1","0.250","3","1","2021"
"EBERLEIN-GONSKA M","1","1","0.333","10","1","2022"
"EBO DG","1","1","0.250","44","1","2021"
"EDAILY S","1","1","0.333","7","1","2022"
"EDEN-GREEN B","1","1","0.143","22","1","2018"
"EDUARDA SILVA M","1","1","0.083","11","1","2013"
"EDWARDS DA","1","1","0.167","10","1","2019"
"EFFENDI JS","1","1","0.333","11","1","2022"
"EFTIMIE R","1","1","0.333","4","1","2022"
"EGEN L","1","1","0.333","9","1","2022"
"EGGERMONT JJ","1","1","0.083","3","1","2013"
"EGHBALI N","1","1","0.250","7","1","2021"
"EGO M","1","1","0.250","57","1","2021"
"EGYPTIEN S","1","1","0.200","5","1","2020"
"EHRET G","1","1","0.111","10","1","2016"
"EICKHOFF C","1","1","0.200","57","1","2020"
"EIKERMANN M","1","1","0.500","3","1","2023"
"EISENBERGER J","1","1","0.333","1","1","2022"
"EISENSTEIN M","1","1","0.333","1","1","2022"
"EISMA R","1","1","0.111","14","1","2016"
"EISSES MJ","1","1","0.143","940","1","2018"
"EJMALIAN A","1","1","0.333","2","1","2022"
"EL-BARDINI M","1","1","0.091","19","1","2014"
"EL-BOGHDADLY K","1","1","0.333","22","1","2022"
"EL-METAINY S","1","1","0.125","15","1","2017"
"EL-NAGAR AM","1","1","0.091","19","1","2014"
"EL-TALLAWY SN","1","1","0.500","2","1","2023"
"ELAKKUMANAN LB","1","1","0.500","1","1","2023"
"ELDALY ABM","1","1","0.333","6","1","2022"
"ELDER CJ","1","1","0.500","7","1","2023"
"ELEMENTO O","1","1","0.500","2","1","2023"
"ELFAR JC","1","1","0.500","2","1","2023"
"ELGENDI M","1","1","0.333","1","1","2022"
"ELHUSSEINY AM","1","1","0.500","2","1","2023"
"ELISEYEV A","1","1","0.250","7","1","2021"
"ELKHOLI SM","1","1","0.333","10","1","2022"
"ELLENRIEDER V","1","1","0.250","10","1","2021"
"ELLIS J","1","1","0.500","1","1","2023"
"ELMALEH Y","1","1","0.500","1","1","2023"
"ELSHARKAWY H","1","1","0.125","37","1","2017"
"ELTAYEB OM","1","1","0.143","12","1","2018"
"ELZOMOUR H","1","1","0.500","1","1","2023"
"EMINAGA O","1","1","0.333","7","1","2022"
"EMONS MI","1","1","0.125","32","1","2017"
"ENGER SA","1","1","0.333","4","1","2022"
"ENGLERT A","1","1","0.250","2","1","2021"
"ENGLESBE MJ","1","1","0.333","14","1","2022"
"ENGLISH G","1","1","0.333","1","1","2022"
"ENGOREN MC","1","1","0.200","18","1","2020"
"ENQUOBAHRIE A","1","1","0.167","35","1","2019"
"ENRIGHT SM","1","1","0.333","5","1","2022"
"EO E-Y","1","1","0.250","6","1","2021"
"ER O","1","1","0.500","1","1","2023"
"ERB C","1","1","0.250","68","1","2021"
"ERBAS O","1","1","0.500","5","1","2023"
"ERCOLE A","1","1","0.167","35","1","2019"
"ERDOGAN A","1","1","0.500","5","1","2023"
"ERDOGAN MA","1","1","0.500","5","1","2023"
"ERGEN B","1","1","0.250","41","1","2021"
"ERGENOGLU AM","1","1","0.333","11","1","2022"
"ERISGIN Z","1","1","0.250","9","1","2021"
"ERISSON L","1","1","0.333","38","1","2022"
"ERLENWEIN J","1","1","0.125","32","1","2017"
"EROL G","1","1","0.500","12","1","2023"
"ESCHALIER A","1","1","0.250","2","1","2021"
"ESCHENFELDT PC","1","1","0.143","2","1","2018"
"ESER I","1","1","0.143","2","1","2018"
"ESER N","1","1","0.333","8","1","2022"
"ESHUIS JH","1","1","0.083","14","1","2013"
"ESKANDARI N","1","1","0.125","4","1","2017"
"ESMAEILI N","1","1","0.143","1","1","2018"
"ESPER S","1","1","0.500","4","1","2023"
"ESPITALIER F","1","1","0.500","4","1","2023"
